YEAR,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
1964,20,18,15,13,11,10,10,10,10,10,10,11
1965,12,12,13,14,15,15,16,16,17,20,22,25
1966,28,31,35,37,41,45,50,57,63,68,70,73
1967,75,79,82,85,88,91,94,95,95,95,97,101
1968,103,103,105,107,108,107,105,105,107,110,111,110
1969,110,110,108,106,106,106,106,107,106,105,105,106
1970,106,107,107,107,106,105,103,100,96,93,88,83
1971,79,77,73,70,67,66,65,65,66,66,67,69
1972,71,71,72,73,73,71,68,66,62,61,59,55
1973,51,47,44,43,41,39,38,36,34,33,32,32
1974,33,34,34,34,35,35,34,33,32,30,28,25
1975,23,22,21,19,17,16,15,14,14,15,16,16
1976,15,13,12,13,13,12,13,14,14,14,14,15
1977,17,18,20,22,24,26,29,33,39,46,52,57
1978,61,65,70,77,83,89,97,104,108,111,113,118
1979,124,131,137,141,147,153,155,155,156,158,162,165
1980,164,163,161,159,156,155,153,150,150,150,148,143
1981,140,142,143,143,143,142,140,141,143,142,139,138
1982,137,133,129,124,120,117,115,109,101,96,95,95
1983,93,90,86,82,77,71,66,66,68,68,67,64
1984,60,56,53,50,48,47,44,40,34,29,24,21
1985,20,19,18,18,17,16,15,14,13,12,11,10
